id	x	z	monster	location	note
57671696	0.9154652354570637	0.7650515151515151	{'monster_id': 'MONSTER_BIOME4_03', 'monster': 'Faceless Monster'}	Lacuna	Monsters
57671698	0.9019662049861495	0.7974265993265993	{'monster_id': 'MONSTER_BIOME5_00', 'monster': 'Shadow Guard'}	Lacuna	Monsters (2)
57671695	0.9170297783933518	0.7689387205387205	{'monster_id': 'MONSTER_BIOME5_01', 'monster': 'Royal Guard'}	Lacuna	Monsters (2)
57671694	0.9278786703601108	0.7647707070707072	{'monster_id': 'MONSTER_ELEMENT_03', 'monster': 'Scrambled Energy'}	Lacuna	Monsters (2)
57671693	0.9292434903047092	0.7611824915824916	{'monster_id': 'MONSTER_ELEMENT_03', 'monster': 'Scrambled Energy'}	Lacuna	Monsters (2)
57671692	0.9293260387811635	0.7647269360269361	{'monster_id': 'MONSTER_ELEMENT_03', 'monster': 'Scrambled Energy'}	Lacuna	Monsters (2)
57671691	0.9278862880886427	0.7612824915824916	{'monster_id': 'MONSTER_ELEMENT_03', 'monster': 'Scrambled Energy'}	Lacuna	Monsters (2)
57671690	0.9024095567867035	0.7923309764309764	{'monster_id': 'MONSTER_ROCKBEAST_05', 'monster': 'Obsidian Claw'}	Lacuna	Monsters
57671689	0.8939873961218837	0.7762023569023568	{'monster_id': 'MONSTER_BIOME5_01', 'monster': 'Royal Guard'}	Lacuna	Monsters (2)
57671688	0.8901216066481995	0.7682781144781144	{'monster_id': 'MONSTER_BIOME5_00', 'monster': 'Shadow Guard'}	Lacuna	Monsters (2)
57671687	0.8903047091412742	0.7840781144781145	{'monster_id': 'MONSTER_BIOME5_00', 'monster': 'Shadow Guard'}	Lacuna	Monsters (2)
57671681	0.8962052631578947	0.7767060606060606	{'monster_id': 'MONSTER_EWOLF_03', 'monster': 'Golden Fenrir'}	Lacuna	Monsters
57671680	0.8887619113573407	0.7766680134680135	{'monster_id': 'MONSTER_BIOME4_03', 'monster': 'Faceless Monster'}	Lacuna	Monsters (2)
57933836	0.9018536011080333	0.747421212121212	{'monster_id': 'MONSTER_OWL_03', 'monster': 'Abyss Roc'}	Lacuna	Monsters
57933825	0.917637811634349	0.7787333333333333	{'monster_id': 'MONSTER_HORSE_05', 'monster': 'El Dorado'}	Lacuna	Monsters
57933827	0.9132350415512465	0.8010198653198654	{'monster_id': 'MONSTER_KONG_05', 'monster': 'Continental Lifter'}	Lacuna	Monsters
57933833	0.8910295013850417	0.7572875420875421	{'monster_id': 'MONSTER_BIOME5_02', 'monster': 'Docile Soul'}	Lacuna	Monsters (2)
57933829	0.910666620498615	0.8001912457912458	{'monster_id': 'MONSTER_BIOME5_03', 'monster': 'Echoes of the Past'}	Lacuna	Monsters (2)
57933830	0.8905984764542936	0.7963744107744108	{'monster_id': 'MONSTER_BIOME5_02', 'monster': 'Docile Soul'}	Lacuna	Monsters (2)
57933831	0.8862058171745152	0.7631676767676767	{'monster_id': 'MONSTER_BIOME5_04', 'monster': 'Masked Punisher'}	Lacuna	Monsters (2)
