id	x	z	note	reward
-1	0.08144875346260388	0.36773737373737375	Shop	[{'item_id': 'ITEM_MIX_002'}, {'item_id': 'ITEM_MIX_003'}, {'item_id': 'ITEM_MIX_004'}, {'item_id': 'ITEM_MIX_005'}, {'item_id': 'ITEM_ARMOR_01'}, {'item_id': 'ITEM_FOODSTUFF_002'}, {'item_id': 'ITEM_MUSHROOM_001'}, {'item_id': 'ITEM_FISH_001'}, {'item_id': 'ITEM_FOODSTUFF_001'}, {'item_id': 'ITEM_LIQUID_002'}, {'item_id': 'ITEM_PLANT_002'}, {'item_id': 'ITEM_MEDICAL_001'}, {'potential_0': 'ITEM_TRAIT_TRAIT_001'}, {'potential_0': 'ITEM_TRAIT_TRAIT_002'}, {'potential_0': 'ITEM_TRAIT_TRAIT_003'}]
-2	0.06027008310249307	0.3433905723905724	Shop	[{'item_id': 'ITEM_SAND_001'}, {'item_id': 'ITEM_SAND_002'}, {'item_id': 'ITEM_STONE_002'}, {'item_id': 'ITEM_STONE_003'}, {'item_id': 'ITEM_ORE_001'}, {'item_id': 'ITEM_ORE_002'}, {'item_id': 'ITEM_ORE_003'}, {'item_id': 'ITEM_MIX_001'}, {'item_id': 'ITEM_WEAPON_A_01'}, {'item_id': 'ITEM_WEAPON_B_01'}, {'item_id': 'ITEM_WEAPON_D_01'}, {'potential_0': 'ITEM_TRAIT_TRAIT_047'}, {'potential_0': 'ITEM_TRAIT_TRAIT_048'}, {'potential_0': 'ITEM_TRAIT_TRAIT_049'}, {'potential_0': 'ITEM_TRAIT_TRAIT_050'}, {'potential_0': 'ITEM_TRAIT_TRAIT_009'}, {'potential_0': 'ITEM_TRAIT_TRAIT_010'}, {'potential_0': 'ITEM_TRAIT_TRAIT_013'}, {'potential_0': 'ITEM_TRAIT_TRAIT_016'}]
-3	0.061814404432132965	0.0882457912457912	Shop	[{'item_id': 'ITEM_PLANT_003'}, {'item_id': 'ITEM_PLANT_004'}, {'item_id': 'ITEM_PLANT_005'}, {'item_id': 'ITEM_FLOWER_004'}, {'item_id': 'ITEM_FLOWER_005'}, {'item_id': 'ITEM_MEDICAL_004'}, {'item_id': 'ITEM_ELIXIL_001'}, {'item_id': 'ITEM_WOOD_003'}, {'item_id': 'ITEM_ANIMAL_001'}, {'item_id': 'ITEM_INSECT_003'}, {'item_id': 'ITEM_FOODSTUFF_005'}, {'item_id': 'ITEM_BEEHIVE_001'}, {'item_id': 'ITEM_GEMSTONE_003'}, {'item_id': 'ITEM_GEMSTONE_004'}, {'item_id': 'ITEM_FISH_003'}, {'item_id': 'ITEM_FISH_004'}, {'item_id': 'ITEM_FLOWER_009'}, {'item_id': 'ITEM_FLOWER_010'}]
-4	0.20013850415512466	0.16700336700336701	Shop	[{'item_id': 'ITEM_PLANT_006'}, {'item_id': 'ITEM_MEDICAL_001'}, {'item_id': 'ITEM_MEDICAL_002'}, {'item_id': 'ITEM_MEDICAL_003'}, {'item_id': 'ITEM_GEMSTONE_002'}, {'item_id': 'ITEM_GEMSTONE_003'}, {'item_id': 'ITEM_GEMSTONE_004'}, {'item_id': 'ITEM_GEMSTONE_006'}, {'item_id': 'ITEM_POWDER_002'}, {'item_id': 'ITEM_THREAD_002'}, {'item_id': 'ITEM_MIX_017'}, {'potential_0': 'ITEM_TRAIT_TRAIT_003'}, {'potential_0': 'ITEM_TRAIT_TRAIT_004'}, {'potential_0': 'ITEM_TRAIT_TRAIT_005'}, {'potential_0': 'ITEM_TRAIT_TRAIT_006'}, {'potential_0': 'ITEM_TRAIT_TRAIT_007'}]
-5	0.3026315789473684	0.13421885521885527	Shop	[{'item_id': 'ITEM_MEDICAL_002'}, {'item_id': 'ITEM_MEDICAL_005'}, {'item_id': 'ITEM_MEDICAL_006'}, {'item_id': 'ITEM_POISON_003'}, {'item_id': 'ITEM_POISON_004'}, {'item_id': 'ITEM_POWDER_003'}, {'item_id': 'ITEM_FUEL_002'}, {'item_id': 'ITEM_FOODSTUFF_006'}, {'item_id': 'ITEM_FOODSTUFF_008'}, {'item_id': 'ITEM_BEEHIVE_002'}, {'item_id': 'ITEM_GAS_001'}, {'item_id': 'ITEM_HEAL_004'}, {'potential_0': 'ITEM_TRAIT_TRAIT_001'}, {'potential_0': 'ITEM_TRAIT_TRAIT_002'}, {'potential_0': 'ITEM_TRAIT_TRAIT_003'}, {'potential_0': 'ITEM_TRAIT_TRAIT_021'}, {'potential_0': 'ITEM_TRAIT_TRAIT_023'}]
-6	0.310803324099723	0.13468013468013468	Shop	[{'item_id': 'ITEM_THREAD_001'}, {'item_id': 'ITEM_THREAD_003'}, {'item_id': 'ITEM_ANIMAL_002'}, {'item_id': 'ITEM_ANIMAL_003'}, {'item_id': 'ITEM_ANIMAL_005'}, {'item_id': 'ITEM_MIX_002'}, {'item_id': 'ITEM_MIX_020'}, {'item_id': 'ITEM_MIX_011'}, {'item_id': 'ITEM_MIX_023'}, {'item_id': 'ITEM_ARMOR_03'}, {'item_id': 'ITEM_ACCESSORY_02'}, {'item_id': 'ITEM_PUNIPUNI_001'}, {'item_id': 'ITEM_PUNIPUNI_002'}, {'item_id': 'ITEM_PUNIPUNI_003'}, {'item_id': 'ITEM_PUNIPUNI_004'}, {'item_id': 'ITEM_PUNIPUNI_005'}, {'item_id': 'ITEM_PUNIPUNI_006'}, {'item_id': 'ITEM_PUNIPUNI_007'}, {'item_id': 'ITEM_PUNIPUNI_008'}]
-7	0.36418282548476455	0.32731986531986534	Shop	[{'item_id': 'ITEM_PLANT_008'}, {'item_id': 'ITEM_PLANT_009'}, {'item_id': 'ITEM_PLANT_010'}, {'item_id': 'ITEM_PLANT_011'}, {'item_id': 'ITEM_UNI_002'}, {'item_id': 'ITEM_FLOWER_007'}, {'item_id': 'ITEM_FLOWER_008'}, {'item_id': 'ITEM_ORE_004'}, {'item_id': 'ITEM_ORE_005'}, {'item_id': 'ITEM_GEMSTONE_005'}, {'item_id': 'ITEM_GEMSTONE_008'}, {'item_id': 'ITEM_MUSHROOM_005'}, {'item_id': 'ITEM_MUSHROOM_006'}, {'item_id': 'ITEM_MIX_027'}, {'item_id': 'ITEM_MIX_029'}, {'item_id': 'ITEM_MIX_034'}]
-8	0.2565096952908587	0.3397070707070707	Shop	[{'item_id': 'ITEM_LIQUID_005'}, {'item_id': 'ITEM_LIQUID_006'}, {'item_id': 'ITEM_STONE_007'}, {'item_id': 'ITEM_ELIXIL_002'}, {'item_id': 'ITEM_FISH_010'}, {'item_id': 'ITEM_INSECT_004'}, {'item_id': 'ITEM_INSECT_005'}, {'item_id': 'ITEM_INSECT_006'}, {'item_id': 'ITEM_WOOD_004'}, {'potential_0': 'ITEM_TRAIT_TRAIT_134'}, {'potential_0': 'ITEM_TRAIT_TRAIT_135'}, {'potential_0': 'ITEM_TRAIT_TRAIT_022'}]
-9	0.4581717451523546	0.5303030303030303	Shop	[{'item_id': 'ITEM_UNI_003'}, {'item_id': 'ITEM_FLOWER_011'}, {'item_id': 'ITEM_FLOWER_012'}, {'item_id': 'ITEM_FLOWER_013'}, {'item_id': 'ITEM_SAND_004'}, {'item_id': 'ITEM_SAND_005'}, {'item_id': 'ITEM_GEMSTONE_001'}, {'item_id': 'ITEM_GEMSTONE_007'}, {'item_id': 'ITEM_GEMSTONE_009'}, {'item_id': 'ITEM_INSECT_008'}, {'item_id': 'ITEM_MIX_031'}, {'item_id': 'ITEM_MIX_032'}, {'item_id': 'ITEM_MIX_039'}, {'item_id': 'ITEM_MIX_040'}, {'item_id': 'ITEM_ACCESSORY_07'}, {'item_id': 'ITEM_ACCESSORY_08'}]
-10	0.43975069252077564	0.5447811447811448	Shop	[{'item_id': 'ITEM_LIQUID_007'}, {'item_id': 'ITEM_LIQUID_008'}, {'item_id': 'ITEM_PLANT_012'}, {'item_id': 'ITEM_PLANT_013'}, {'item_id': 'ITEM_MEDICAL_007'}, {'item_id': 'ITEM_MEDICAL_008'}, {'item_id': 'ITEM_FOODSTUFF_009'}, {'item_id': 'ITEM_FOODSTUFF_010'}, {'item_id': 'ITEM_FOODSTUFF_011'}, {'item_id': 'ITEM_BEEHIVE_003'}, {'item_id': 'ITEM_MUSHROOM_007'}, {'item_id': 'ITEM_FISH_011'}, {'item_id': 'ITEM_FISH_012'}, {'item_id': 'ITEM_FISH_013'}, {'item_id': 'ITEM_FISH_014'}, {'item_id': 'ITEM_INSECT_007'}, {'item_id': 'ITEM_THREAD_004'}, {'item_id': 'ITEM_WOOD_005'}, {'item_id': 'ITEM_WOOD_006'}]
