id	x	z	reward	location	note
58196000	0.9316397506925208	0.7481865319865321	[{'item_id': 'ITEM_ELIXIL_001', 'item': 'Refreshing Sap'}]	Lacuna	Chest
58195968	0.8940506925207756	0.7859481481481481	[{'item_id': 'ITEM_ELIXIL_002', 'item': 'Rubellum Lily'}]	Lacuna	Chest
58196027	0.9377227146814405	0.7630912457912458	[{'item_id': 'ITEM_ELIXIL_003', 'item': 'Inverse Metal'}]	Lacuna	Chest
58195970	0.8998103878116344	0.7834622895622895	[{'item_id': 'ITEM_ELIXIL_005', 'item': 'Evolved Sacred Silver'}]	Lacuna	Chest
58195971	0.9019919667590027	0.8548814814814815	[{'item_id': 'ITEM_PUNIPUNI_007', 'item': 'Silver Puniball'}]	Lacuna	Chest
58195972	0.910082271468144	0.7498744107744109	[{'item_id': 'ITEM_PUNIPUNI_008', 'item': 'Gold Puniball'}]	Lacuna	Chest
58195973	0.9158304709141274	0.7756033670033671	[{'item_id': 'ITEM_PUNIPUNI_009', 'item': 'Rainbow Puniball'}]	Lacuna	Chest
58195974	0.9285318559556787	0.8106178451178451	[{'item_id': 'ITEM_ANIMAL_013', 'item': 'Golem Core'}]	Lacuna	Chest
58195976	0.9357448753462605	0.7834074074074074	[{'item_id': 'ITEM_ANIMAL_014', 'item': 'Ether Core'}]	Lacuna	Chest
58195977	0.9155797783933518	0.7514922558922559	[{'item_id': 'ITEM_OTHER_01', 'potential_0': 'ITEM_TRAIT_TRAIT_008', 'trait': 'All Stats Boost'}]	Lacuna	Chest
58195979	0.9074951523545707	0.7719646464646465	[{'item_id': 'ITEM_OTHER_01', 'potential_0': 'ITEM_TRAIT_TRAIT_036', 'trait': 'ATK & DEF Boost'}]	Lacuna	Chest
58195978	0.9121883656509695	0.7893979797979799	[{'item_id': 'ITEM_ELIXIL_003', 'item': 'Inverse Metal'}]	Lacuna	Chest
58195982	0.9198060941828254	0.7785673400673401	[{'item_id': 'ITEM_MIX_040', 'item': 'Protectite'}]	Lacuna	Chest
58196020	0.9169038781163434	0.759514478114478	[{'item_id': 'ITEM_ELIXIL_002', 'item': 'Rubellum Lily'}]	Lacuna	Chest
58196021	0.9056736842105263	0.7607956228956229	[{'item_id': 'ITEM_ELIXIL_005', 'item': 'Evolved Sacred Silver'}]	Lacuna	Chest
58196025	0.8994642659279778	0.8255983164983165	[{'item_id': 'ITEM_PUNIPUNI_007', 'item': 'Silver Puniball'}]	Lacuna	Chest
58196026	0.9045469529085873	0.8252030303030302	[{'item_id': 'ITEM_PUNIPUNI_008', 'item': 'Gold Puniball'}]	Lacuna	Chest
58196022	0.9117592797783933	0.7505565656565656	[{'item_id': 'ITEM_PUNIPUNI_009', 'item': 'Rainbow Puniball'}]	Lacuna	Chest
58196023	0.8913716066481995	0.7918659932659933	[{'item_id': 'ITEM_ELIXIL_004', 'item': 'Sealed Herb'}]	Lacuna	Chest
58196033	0.8974425207756233	0.7736444444444445	[{'item_id': 'ITEM_MIX_027', 'item': 'Prasiolite'}]	Lacuna	Chest
58196034	0.8967740997229917	0.8468468013468013	[{'item_id': 'ITEM_MIX_034', 'item': 'Coral Chip'}]	Lacuna	Chest
